PERMNO,date,TICKER,COMNAM,NAICS,CUSIP,PRC
10107,30/12/2005,MSFT,MICROSOFT CORP,511210,59491810,26.15
10107,31/01/2006,MSFT,MICROSOFT CORP,511210,59491810,28.15
10107,28/02/2006,MSFT,MICROSOFT CORP,511210,59491810,26.87
10107,31/03/2006,MSFT,MICROSOFT CORP,511210,59491810,27.21
10107,28/04/2006,MSFT,MICROSOFT CORP,511210,59491810,24.15
10107,31/05/2006,MSFT,MICROSOFT CORP,511210,59491810,22.65
10107,30/06/2006,MSFT,MICROSOFT CORP,511210,59491810,23.3
10107,31/07/2006,MSFT,MICROSOFT CORP,511210,59491810,24.06
10107,31/08/2006,MSFT,MICROSOFT CORP,511210,59491810,25.7
10107,29/09/2006,MSFT,MICROSOFT CORP,511210,59491810,27.35
10107,31/10/2006,MSFT,MICROSOFT CORP,511210,59491810,28.71
10107,30/11/2006,MSFT,MICROSOFT CORP,511210,59491810,29.36
10107,29/12/2006,MSFT,MICROSOFT CORP,511210,59491810,29.86
10107,31/01/2007,MSFT,MICROSOFT CORP,511210,59491810,30.86
10107,28/02/2007,MSFT,MICROSOFT CORP,511210,59491810,28.17
10107,30/03/2007,MSFT,MICROSOFT CORP,511210,59491810,27.87
10107,30/04/2007,MSFT,MICROSOFT CORP,511210,59491810,29.94
10107,31/05/2007,MSFT,MICROSOFT CORP,511210,59491810,30.6901
10107,29/06/2007,MSFT,MICROSOFT CORP,511210,59491810,29.47
10107,31/07/2007,MSFT,MICROSOFT CORP,511210,59491810,28.99
10107,31/08/2007,MSFT,MICROSOFT CORP,511210,59491810,28.73
10107,28/09/2007,MSFT,MICROSOFT CORP,511210,59491810,29.46
10107,31/10/2007,MSFT,MICROSOFT CORP,511210,59491810,36.81
10107,30/11/2007,MSFT,MICROSOFT CORP,511210,59491810,33.6
10107,31/12/2007,MSFT,MICROSOFT CORP,511210,59491810,35.6
10107,31/01/2008,MSFT,MICROSOFT CORP,511210,59491810,32.6
10107,29/02/2008,MSFT,MICROSOFT CORP,511210,59491810,27.1999
10107,31/03/2008,MSFT,MICROSOFT CORP,511210,59491810,28.38
10107,30/04/2008,MSFT,MICROSOFT CORP,511210,59491810,28.52
10107,30/05/2008,MSFT,MICROSOFT CORP,511210,59491810,28.32
10107,30/06/2008,MSFT,MICROSOFT CORP,511210,59491810,27.51
10107,31/07/2008,MSFT,MICROSOFT CORP,511210,59491810,25.72
10107,29/08/2008,MSFT,MICROSOFT CORP,511210,59491810,27.29
10107,30/09/2008,MSFT,MICROSOFT CORP,511210,59491810,26.69
10107,31/10/2008,MSFT,MICROSOFT CORP,511210,59491810,22.33
10107,28/11/2008,MSFT,MICROSOFT CORP,511210,59491810,20.22
10107,31/12/2008,MSFT,MICROSOFT CORP,511210,59491810,19.44
10107,30/01/2009,MSFT,MICROSOFT CORP,511210,59491810,17.1
10107,27/02/2009,MSFT,MICROSOFT CORP,511210,59491810,16.15
10107,31/03/2009,MSFT,MICROSOFT CORP,511210,59491810,18.37
10107,30/04/2009,MSFT,MICROSOFT CORP,511210,59491810,20.26
10107,29/05/2009,MSFT,MICROSOFT CORP,511210,59491810,20.89
10107,30/06/2009,MSFT,MICROSOFT CORP,511210,59491810,23.77
10107,31/07/2009,MSFT,MICROSOFT CORP,511210,59491810,23.52
10107,31/08/2009,MSFT,MICROSOFT CORP,511210,59491810,24.65
10107,30/09/2009,MSFT,MICROSOFT CORP,511210,59491810,25.72
10107,30/10/2009,MSFT,MICROSOFT CORP,511210,59491810,27.73
10107,30/11/2009,MSFT,MICROSOFT CORP,511210,59491810,29.41
10107,31/12/2009,MSFT,MICROSOFT CORP,511210,59491810,30.48
10107,29/01/2010,MSFT,MICROSOFT CORP,511210,59491810,28.18
10107,26/02/2010,MSFT,MICROSOFT CORP,511210,59491810,28.67
10107,31/03/2010,MSFT,MICROSOFT CORP,511210,59491810,29.2875
10107,30/04/2010,MSFT,MICROSOFT CORP,511210,59491810,30.535
10107,28/05/2010,MSFT,MICROSOFT CORP,511210,59491810,25.8
10107,30/06/2010,MSFT,MICROSOFT CORP,511210,59491810,23.01
10107,30/07/2010,MSFT,MICROSOFT CORP,511210,59491810,25.81
10107,31/08/2010,MSFT,MICROSOFT CORP,511210,59491810,23.465
10107,30/09/2010,MSFT,MICROSOFT CORP,511210,59491810,24.49
10107,29/10/2010,MSFT,MICROSOFT CORP,511210,59491810,26.665
10107,30/11/2010,MSFT,MICROSOFT CORP,511210,59491810,25.2575
10107,31/12/2010,MSFT,MICROSOFT CORP,511210,59491810,27.91
10107,31/01/2011,MSFT,MICROSOFT CORP,511210,59491810,27.725
10107,28/02/2011,MSFT,MICROSOFT CORP,511210,59491810,26.58
10107,31/03/2011,MSFT,MICROSOFT CORP,511210,59491810,25.39
10107,29/04/2011,MSFT,MICROSOFT CORP,511210,59491810,25.92
10107,31/05/2011,MSFT,MICROSOFT CORP,511210,59491810,25.01
10107,30/06/2011,MSFT,MICROSOFT CORP,511210,59491810,26
10107,29/07/2011,MSFT,MICROSOFT CORP,511210,59491810,27.4
10107,31/08/2011,MSFT,MICROSOFT CORP,511210,59491810,26.6
10107,30/09/2011,MSFT,MICROSOFT CORP,511210,59491810,24.89
10107,31/10/2011,MSFT,MICROSOFT CORP,511210,59491810,26.63
10107,30/11/2011,MSFT,MICROSOFT CORP,511210,59491810,25.58
