caldt,5yUSTreasuryBond,1yUSTreasuryBond,90dUSBills,USInflation
20010131,0.01351,0.012048,0.0069,0.006322
20010228,0.01131,0.004732,0.003967,0.003998
20010330,0.008259,0.007367,0.004678,0.002275
20010430,-0.008237,0.004721,0.00447,0.003973
20010531,0.002011,0.006094,0.003853,0.004522
20010629,0.00223,0.002773,0.003001,0.001688
20010731,0.022406,0.007754,0.003305,-0.002809
20010831,0.011976,0.004845,0.003284,0
20010928,0.023823,0.010444,0.004224,0.004507
20011031,0.020708,0.007903,0.002545,-0.003365
20011130,-0.018299,0.001236,0.002106,-0.001688
20011231,-0.009027,0.002073,0.001592,-0.003946
20020131,0.003923,0.000687,0.001488,0.002264
20020228,0.011665,0.003139,0.001373,0.003953
20020328,-0.023253,-0.002648,0.001376,0.005624
20020430,0.023723,0.007708,0.001669,0.005593
20020531,0.010847,0.002214,0.001607,0
20020628,0.016332,0.005796,0.001432,0.000556
20020731,0.028037,0.005072,0.001556,0.001112
20020830,0.016825,0.000968,0.001467,0.003331
20020930,0.030206,0.004035,0.001606,0.00166
20021031,-0.003478,0.002565,0.001475,0.001657
20021129,-0.017077,-0.000347,0.001557,0
20021231,0.028048,0.00448,0.001199,-0.002206
20030131,-0.006167,0.000443,0.001084,0.004422
20030228,0.016693,0.001683,0.00085,0.007705
20030331,0.00002,0.002141,0.001198,0.006008
20030430,0.001737,0.001039,0.00093,-0.002172
20030530,0.025215,0.001078,0.000958,-0.001632
20030630,-0.002791,0.002162,0.001439,0.00109
20030731,-0.03069,-0.000905,0.000746,0.001089
20030829,-0.002624,0.000532,0.000717,0.003806
20030930,0.033421,0.003814,0.001072,0.00325
20031031,-0.014593,-0.000772,0.000774,-0.00108
20031128,-0.000681,-0.000455,0.000804,-0.002703
20031231,0.010046,0.003836,0.000971,-0.001084
20040130,0.005584,0.001233,0.000868,0.004883
20040227,0.012425,0.001592,0.000663,0.0054
20040331,0.011274,0.00141,0.000918,0.006445
20040430,-0.033809,-0.00331,0.000816,0.003202
20040528,-0.004927,-0.000371,0.000749,0.005851
20040630,0.00557,0.0002,0.000819,0.003173
20040730,0.007603,0.001789,0.000896,-0.001581
20040831,0.020377,0.003512,0.001258,0.000528
20040930,0.000598,-0.000269,0.001327,0.002111
20041029,0.006911,0.001553,0.001111,0.005266
20041130,-0.014843,-0.002025,0.001474,0.000524
20041231,0.00749,0.001464,0.002104,-0.003665
20050131,0.000411,0.000604,0.00169,0.002102
20050228,-0.010545,-0.000387,0.001613,0.005768
20050331,-0.002861,0.001544,0.002385,0.007821
20050429,0.015349,0.003691,0.002189,0.006725
20050531,0.010154,0.003251,0.002672,-0.001028
20050630,0.004573,0.001802,0.002256,0.000514
20050729,-0.01506,-0.000608,0.002114,0.004627
20050831,0.015683,0.004896,0.003081,0.005118
20050930,-0.012072,-0.00006,0.003136,0.01222
20051031,-0.008743,0.001098,0.002667,0.002012
20051130,0.004314,0.002993,0.003393,-0.008032
20051230,0.005806,0.003666,0.00317,-0.004049
20060131,-0.002261,0.001937,0.003212,0.007622
20060228,-0.001712,0.002138,0.00327,0.002017
20060331,-0.006159,0.002633,0.003923,0.005536
20060428,-0.001292,0.003109,0.00334,0.008509
20060531,-0.00181,0.002628,0.004294,0.004963
20060630,0.000956,0.002458,0.003842,0.001975
20060731,0.013136,0.005809,0.004207,0.002957
20060831,0.013386,0.005217,0.004477,0.001966
20060929,0.007946,0.004391,0.004418,-0.004904
20061031,0.00399,0.003965,0.003932,-0.005421
20061130,0.008574,0.004218,0.004312,-0.001487
20061229,-0.00749,0.002285,0.004088,0.001489
20070131,-0.000763,0.003995,0.00441,0.003053
20070228,0.015508,0.005063,0.003807,0.00535
20070330,0.003053,0.003904,0.004365,0.009106
20070430,0.004387,0.003403,0.004529,0.006496
20070531,-0.011059,0.002538,0.004487,0.006111
20070629,0.000799,0.004246,0.003801,0.001938
20070731,0.018827,0.006321,0.004037,-0.000254
20070831,0.017403,0.007002,0.005694,-0.001834
20070928,0.004294,0.005447,0.003905,0.002756
20071031,0.007296,0.003567,0.003145,0.002139
20071130,0.037483,0.011388,0.004658,0.00594
20071231,0.000672,0.001147,0.002879,-0.000671
20080131,0.033951,0.013061,0.005008,0.004971
20080229,0.014841,0.005399,0.001676,0.002904
20080331,0.004523,0.002887,0.00243,0.008668
20080430,-0.023902,-0.002938,0.001126,0.006065
20080530,-0.015239,-0.001104,0.000221,0.008421
20080630,0.007028,0.001278,0.001831,0.010077
20080731,0.007249,0.003177,0.00172,0.005251
20080829,0.008864,0.002366,0.001413,-0.003992
20080930,0.009199,0.005113,0.002546,-0.001383
20081031,0.010844,0.005218,0.001208,-0.010101
20081128,0.045233,0.00717,0.001024,-0.019153
20081231,0.023039,0.00389,0.000063,-0.010342
20090130,-0.016891,-0.001545,-0.000038,0.004352
20090227,-0.005036,-0.001389,0.00028,0.004973
20090331,0.018724,0.001434,0.000351,0.002432
20090430,-0.01675,0.001908,0.000359,0.002496
20090529,-0.013248,0.000361,0.000118,0.002889
20090630,-0.007311,0.000567,0.000108,0.00859
20090731,0.006035,0.001105,0.000196,-0.001586
20090831,0.009517,0.001488,0.000241,0.002243
20090930,0.006463,0.000799,0.00025,0.000625
20091030,0.003621,-0.000021,0.000195,0.000963
20091130,0.018421,0.001892,0.000104,0.000708
20091231,-0.027479,-0.001166,0.000066,-0.001761
20100129,0.018564,0.003246,0.000062,0.003417
20100226,0.004494,-0.000473,0.000015,0.000249
20100331,-0.007727,-0.000869,0.000042,0.004106
20100430,0.009075,0.000162,0.000129,0.001737
20100528,0.015079,0.000695,0.000129,0.000775
20100630,0.018377,0.001116,0.000118,-0.000976
20100730,0.011016,0.000856,0.000176,0.000211
20100831,0.013728,0.001025,0.000145,0.001381
20100930,0.005236,0.000346,0.000044,0.000582
20101029,0.006257,0.000304,0.000159,0.001245
20101130,-0.012155,-0.000524,0.000046,0.000421
20101231,-0.022323,-0.000083,0.00022,0.001718
20110131,0.006702,0.001078,0.000058,0.004763
20110228,-0.00592,0.000241,0.000142,0.004931
20110331,-0.002384,0.000077,0.000237,0.009751
20110429,0.017115,0.000672,0.000208,0.006439
20110531,0.016184,0.001021,0.000064,0.004704
20110630,0.000608,0.000198,0.000103,-0.001071
20110729,0.021177,-0.000921,-0.000083,0.000886
20110831,0.020564,0.001945,0.000231,0.002758
20110930,0.002422,-0.001243,0.000008,0.001518
20111031,0.000677,0.00065,0.000025,-0.002063
20111130,0.002623,0.000291,0.000006,-0.000844
20111230,0.006518,-0.000495,-0.000009,-0.002467
20120131,0.007973,0.00045,-0.000048,0.0044
20120229,-0.005721,-0.000635,0.000018,0.004403
20120330,-0.007109,-0.000285,0.000088,0.007595
20120430,0.012062,0.000716,0.000036,0.003021
20120531,0.00839,0.000108,0.000175,-0.001173
20120629,-0.001385,-0.000491,0.000095,-0.001466
20120731,0.008221,0.001154,0.000102,-0.00163
20120831,0.001074,-0.000172,0.000123,0.005565
20120928,0.000245,0.000157,0.000109,0.004462
20121031,-0.003651,0.00008,0.000067,-0.000389
20121130,0.007181,0.000265,0.000195,-0.004738
20121231,-0.003136,0.000379,0.000118,-0.002693
20130131,-0.005317,0.000448,0.000019,0.002957
20130228,0.006808,0.000347,0.000017,0.00819
20130328,0.001281,0.00017,0.000143,0.002615
20130430,0.005781,0.000714,0.000165,-0.00104
20130531,-0.014887,-0.000074,0.000093,0.00178
20130628,-0.016287,-0.000038,0.000053,0.0024
20130731,0.002921,0.000688,0.000048,0.000394
20130830,-0.009388,-0.000054,0.000072,0.001203
20130930,0.014959,0.000888,0.00004,0.001163
20131031,0.005137,0.000122,-0.000018,-0.002575
